OBJECTID,LINKID,DATA_DATE,ROUTE_COMMON_NAME,ROUTE_NAME,HTRIS_ID,ROUTE_ALIAS,START_LABEL,END_LABEL,ADT,ADT_QUALITY,PERCENT_4_TIRE,PERCENT_BUS,PERCENT_TRUCK_2_AXLE,PERCENT_TRUCK_3_AXLE,PERCENT_TRUCK_1_TRAIL,PERCENT_TRUCK_2_TRAIL,CLASS_QUALITY_CODE,K_FACTOR,K_FACTOR_QUALITY_CODE,DIRECTION_FACTOR,AAWDT,AAWDT_QUALITY_CODE,LOC_COMP_DIRECTIONALITY_NAME,ROUTE_FROM_MEASURE,FROM_JURISDICTION,ROUTE_TO_MEASURE,TO_JURISDICTION,PEAK_SINGLE_UNIT_TRUCK,PEAK_COMBINATION_TRUCK,EVENT_SOURCE_ID,EVENT_LOCATION_ID,EVENT_COMPONENT_ID,MAXIMUMSCALEDENOMINATOR,ROUTE_COMMON_NAME_ADT,FROM_DISTRICT,TO_DISTRICT,RTE_TYPE_CD,RTE_ID,DATA_CUSTODIAN_EMAIL,METADATA_URL,Shape__Length
136,700777,2017/08/22 04:00:00+00,SC-1610N (Accomack County),R-VA001SC01610NB,  0101610     ,01-1610 Caroline Ave,01-1602 Church St,01-609 Pennsylvania Ave,120,R,,,,,,,X,,X,,,X,Bidirectional,0.11,Accomack County,0.29,Accomack County,,,700777,1,1,48000,SC-1610N (Accomack County) - ADT 120,Hampton Roads,Hampton Roads,SC,1373277,,,386.034578856893
139,756649,2016/04/21 04:00:00+00,SC-1110W (Northampton County),R-VA065SC01110WB,  6501110W    ,65-1110 Monroe Ave,"SR 184 Bay Ave; Mason Ave",65-1107 Harbor Ave,190,R,,,,,,,X,,X,,,X,Master Non-Prime,0,Northampton County,0.06,Northampton County,,,756649,1,2,48000,SC-1110W (Northampton County) - ADT 190,Hampton Roads,Hampton Roads,SC,2366693,,,154.206550250862
141,050608,2021/01/01 05:00:00+00,I-264E,R-VA   IS00264EB,  IS00264E    ,"I-264 EB, Alt US 460",US 17 Frederick Blvd,SR 164,51000,G,92.58487,0.54818,0.78266,1.27875,4.80658,0.00173,F,0.0935,F,0.7421,56000,G,Master Prime,4.28,Norfolk Maintenance Area,5.27,Norfolk Maintenance Area,0.18233,0.36091,50608,1,1,4000000,I-264E - ADT 51000,Hampton Roads,Hampton Roads,IS,1830586,,,1972.84264934951
145,780074,2019/05/07 04:00:00+00,SC-1680N (York County),R-VA099SC01680NB,  9901680     ,99-1680 Windy Shore Dr,"99-1685 N, Spruce Dr",99-1684 Tall Pine Circle,530,R,,,,,,,X,,X,,,X,Bidirectional,0.1,York County,0.15,York County,,,780074,1,1,24000,SC-1680N (York County) - ADT 530,Hampton Roads,Hampton Roads,SC,1829980,,,114.498508807521
170,050187,2021/01/01 05:00:00+00,I-264E,R-VA   IS00264EB,  IS00264E    ,I-264 EB Virginia Beach Norfolk Expwy,US 58 Virginia Beach Blvd,First Colonial Rd,67000,G,94.93187,0.43914,0.84041,0.85126,2.93841,0.00104,F,0.0804,F,0.535,72000,G,Master Prime,21.65,Princess Anne Maintenance Area,23.07,Princess Anne Maintenance Area,0.1616,0.03698,50187,1,1,4000000,I-264E - ADT 67000,Hampton Roads,Hampton Roads,IS,1830586,,,2894.75288980636
175,680553,2021/01/01 05:00:00+00,VA-132S,R-VA   SR00132SB,  SR00132S    ,VA 132 Henry St South,SR 199,Ireland Street,2500,G,97.53335,0.23753,0.78568,0.89531,0.54814,0,C,0.0905,F,0.5783,2600,G,Master Non-Prime,0.013,City of Williamsburg,0.05,City of Williamsburg,0.0362,0,680553,1,4,400000,VA-132S - ADT 2500,Hampton Roads,Hampton Roads,SR,2402142,,,106.348281767132
179,779159,2016/04/20 04:00:00+00,SC-725N (York County),R-VA099SC00725NB,  9900725     ,99-725 Dodge Dr,99-641 Penniman Rd,99-726 W Semple Rd,290,R,,,,,,,X,,X,,,X,Bidirectional,0,York County,0.08,York County,,,779159,1,1,24000,SC-725N (York County) - ADT 290,Hampton Roads,Hampton Roads,SC,1825482,,,140.706253297822
200,636077,2021/01/01 05:00:00+00,VA-415W,R-VA   SR00415WB,  SR00415W    ,VA 415 Power Plant Pkwy,US 258 Mercury Blvd,Pine Chapel Rd,14000,G,98.13009,0.6516,0.48411,0.45658,0.27532,0.00229,F,0.1007,F,0.6011,14000,G,Master Non-Prime,0,City of Hampton,0.675,City of Hampton,0.15609,0.03021,636077,1,2,400000,VA-415W - ADT 14000,Hampton Roads,Hampton Roads,SR,2401714,,,1396.52051843514
219,756520,2016/06/06 04:00:00+00,SC-1002N (Northampton County),R-VA065SC01002NB,  6501002     ,65-1002 Front St,65-1003 Commercial St,65-1001 Bank Ave,360,R,,,,,,,X,,X,,,X,Bidirectional,0.03,Northampton County,0.09,Northampton County,,,756520,1,1,48000,SC-1002N (Northampton County) - ADT 360,Hampton Roads,Hampton Roads,SC,2019101,,,110.373222984245
223,784843,2016/04/26 04:00:00+00,SC-1718N (York County),R-VA099SC01718NB,  9901718     ,99-1718 Sandalewood Ln,99-1719 Pasture Lane,99-1717 Brentmeade Dr,680,R,,,,,,,X,,X,,,X,Bidirectional,0,York County,0.14,York County,,,784843,1,1,24000,SC-1718N (York County) - ADT 680,Hampton Roads,Hampton Roads,SC,1830094,,,298.173776065395
